n_estimators,max_depth,min_samples_split,cv_train_acc,cv_val_acc
200,8,2,0.9772,0.7818
400,5,2,0.8722,0.7818
200,5,5,0.8721,0.7818
400,None,2,1.0,0.7817
200,5,2,0.8754,0.7802
100,5,5,0.8746,0.7802
100,5,10,0.8591,0.7802
200,8,5,0.9536,0.7801
400,8,10,0.9267,0.7801
400,5,10,0.8632,0.7801
400,8,2,0.9772,0.7785
100,8,2,0.9764,0.7785
100,8,5,0.9528,0.7785
100,8,10,0.9251,0.7785
200,3,5,0.8143,0.7785
400,None,5,0.991,0.7769
200,None,5,0.9902,0.7769
400,None,10,0.9479,0.7769
400,5,5,0.8713,0.7769
200,5,10,0.8607,0.7769
200,3,2,0.8135,0.7769
400,8,5,0.9528,0.7753
200,None,10,0.9479,0.7753
200,3,10,0.8127,0.7753
100,3,10,0.8062,0.7753
200,8,10,0.9316,0.7752
200,None,2,1.0,0.7736
400,3,2,0.8111,0.7736
100,None,2,1.0,0.772
100,None,5,0.9862,0.772
100,5,2,0.8754,0.772
100,3,2,0.8127,0.772
400,3,5,0.8127,0.772
100,None,10,0.9503,0.7704
400,3,10,0.8127,0.7704
100,3,5,0.8103,0.7704
