epoch,train_acc_bs32,train_acc_bs64,train_acc_bs128,test_acc_bs32,test_acc_bs64,test_acc_bs128
1,0.198125,0.18734375,0.18265625,0.30875,0.19125,0.19125
2,0.43421875,0.27265625,0.1940625,0.594375,0.44875,0.259375
3,0.57109375,0.4653125,0.3053125,0.71125,0.60625,0.395625
4,0.635,0.5590625,0.41109375,0.74625,0.6725,0.49625
5,0.6784375,0.61796875,0.46796875,0.7825,0.740625,0.59375
6,0.7028125,0.6503125,0.538125,0.818125,0.76625,0.639375
7,0.72265625,0.6815625,0.5728125,0.81125,0.774375,0.67375
8,0.726875,0.6853125,0.6028125,0.83625,0.798125,0.719375
9,0.746875,0.69515625,0.618125,0.82875,0.7875,0.723125
10,0.756875,0.70875,0.63375,0.831875,0.816875,0.74625
